"Predator","Year","Predator.no","Prey","Prey.no","eatenW"
"Habour porpoise",1987,6,"Cod",8,50330.8320886996
"Habour porpoise",1988,6,"Cod",8,34244.6686421454
"Habour porpoise",1989,6,"Cod",8,34564.9170565408
"Habour porpoise",1990,6,"Cod",8,36535.5916617281
"Habour porpoise",1991,6,"Cod",8,29465.0891988945
"Habour porpoise",1992,6,"Cod",8,34488.3577156794
"Habour porpoise",1993,6,"Cod",8,39762.2528073501
"Habour porpoise",1994,6,"Cod",8,35780.2083187836
"Habour porpoise",1995,6,"Cod",8,41539.8300643199
"Habour porpoise",1996,6,"Cod",8,34361.2681889036
"Habour porpoise",1997,6,"Cod",8,35674.0912085863
"Habour porpoise",1998,6,"Cod",8,39525.1332571074
"Habour porpoise",1999,6,"Cod",8,17768.7011040362
"Habour porpoise",2000,6,"Cod",8,24645.2861324124
"Habour porpoise",2001,6,"Cod",8,24791.5192742139
"Habour porpoise",2002,6,"Cod",8,14583.3538770297
"Habour porpoise",2003,6,"Cod",8,14435.0060282971
"Habour porpoise",2004,6,"Cod",8,14490.3796703386
"Habour porpoise",2005,6,"Cod",8,18938.6399028011
"Habour porpoise",2006,6,"Cod",8,20675.0521481055
"Habour porpoise",2007,6,"Cod",8,24335.1746991314
"Habour porpoise",2008,6,"Cod",8,16207.3314712983
"Habour porpoise",2009,6,"Cod",8,15255.6840197081
"Habour porpoise",2010,6,"Cod",8,16694.1560862482
"Habour porpoise",2011,6,"Cod",8,17365.4638715488
"Habour porpoise",2012,6,"Cod",8,12851.217501933
"Habour porpoise",2013,6,"Cod",8,17318.6771019016
"Habour porpoise",2014,6,"Cod",8,20068.3315509586
"Habour porpoise",2015,6,"Cod",8,16920.3949750429
"Habour porpoise",2016,6,"Cod",8,10463.3137728806
"Habour porpoise",2017,6,"Cod",8,11495.6127419951
"Habour porpoise",2018,6,"Cod",8,13680.9870060522
"Habour porpoise",2019,6,"Cod",8,8835.75338092753
"Cod",1974,8,"Cod",8,51879.3025962941
"Cod",1975,8,"Cod",8,59233.9100892812
"Cod",1976,8,"Cod",8,72340.2461075071
"Cod",1977,8,"Cod",8,105028.94212368
"Cod",1978,8,"Cod",8,74356.8095973655
"Cod",1979,8,"Cod",8,79415.4198082173
"Cod",1980,8,"Cod",8,85419.9560883164
"Cod",1981,8,"Cod",8,89851.9688754914
"Cod",1982,8,"Cod",8,77775.0651011378
"Cod",1983,8,"Cod",8,55984.4316148076
"Cod",1984,8,"Cod",8,60055.4018786222
"Cod",1985,8,"Cod",8,44181.6798553089
"Cod",1986,8,"Cod",8,46040.6520544421
"Cod",1987,8,"Cod",8,32052.7264921564
"Cod",1988,8,"Cod",8,25625.851898045
"Cod",1989,8,"Cod",8,24082.4596466771
"Cod",1990,8,"Cod",8,18898.4720004563
"Cod",1991,8,"Cod",8,15414.2906760724
"Cod",1992,8,"Cod",8,16458.3006207791
"Cod",1993,8,"Cod",8,15357.4560980161
"Cod",1994,8,"Cod",8,18221.7652150127
"Cod",1995,8,"Cod",8,15477.0646661748
"Cod",1996,8,"Cod",8,15267.614421042
"Cod",1997,8,"Cod",8,16642.4279522355
"Cod",1998,8,"Cod",8,8308.47559863466
"Cod",1999,8,"Cod",8,4935.60696396797
"Cod",2000,8,"Cod",8,4274.39424017649
"Cod",2001,8,"Cod",8,3639.55208673866
"Cod",2002,8,"Cod",8,2576.25361214513
"Cod",2003,8,"Cod",8,2253.64769748309
"Cod",2004,8,"Cod",8,2480.98712372606
"Cod",2005,8,"Cod",8,2818.20489161989
"Cod",2006,8,"Cod",8,3156.35657073952
"Cod",2007,8,"Cod",8,2814.48877239964
"Cod",2008,8,"Cod",8,2688.01773453848
"Cod",2009,8,"Cod",8,2712.50126455139
"Cod",2010,8,"Cod",8,3048.24791747442
"Cod",2011,8,"Cod",8,2900.59708450462
"Cod",2012,8,"Cod",8,3605.22902662192
"Cod",2013,8,"Cod",8,4731.89908482003
"Cod",2014,8,"Cod",8,4796.48602069982
"Cod",2015,8,"Cod",8,3423.48835317133
"Cod",2016,8,"Cod",8,3077.19511139417
"Cod",2017,8,"Cod",8,4101.76046469652
"Cod",2018,8,"Cod",8,2459.96782224849
"Cod",2019,8,"Cod",8,2366.08370056785
"Whiting",1974,9,"Cod",8,8020.34547936476
"Whiting",1975,9,"Cod",8,6696.52949891029
"Whiting",1976,9,"Cod",8,25637.0076731968
"Whiting",1977,9,"Cod",8,19357.5718252445
"Whiting",1978,9,"Cod",8,16881.7099828452
"Whiting",1979,9,"Cod",8,17441.9922386818
"Whiting",1980,9,"Cod",8,26187.0345923418
"Whiting",1981,9,"Cod",8,30653.0719929022
"Whiting",1982,9,"Cod",8,13421.8673628155
"Whiting",1983,9,"Cod",8,13173.0980601581
"Whiting",1984,9,"Cod",8,8397.71636472126
"Whiting",1985,9,"Cod",8,13288.4120770485
"Whiting",1986,9,"Cod",8,9095.03743211382
"Whiting",1987,9,"Cod",8,8418.23799427775
"Whiting",1988,9,"Cod",8,6239.34171728012
"Whiting",1989,9,"Cod",8,4149.9388344998
"Whiting",1990,9,"Cod",8,5836.49769837514
"Whiting",1991,9,"Cod",8,8561.74366892197
"Whiting",1992,9,"Cod",8,3595.61312099066
"Whiting",1993,9,"Cod",8,5163.08355732037
"Whiting",1994,9,"Cod",8,3077.69981286248
"Whiting",1995,9,"Cod",8,3744.19547562954
"Whiting",1996,9,"Cod",8,5477.74229426829
"Whiting",1997,9,"Cod",8,1787.94028471685
"Whiting",1998,9,"Cod",8,2520.16123897178
"Whiting",1999,9,"Cod",8,2480.81501245242
"Whiting",2000,9,"Cod",8,1485.40164095929
"Whiting",2001,9,"Cod",8,2235.96137054114
"Whiting",2002,9,"Cod",8,1509.79768167209
"Whiting",2003,9,"Cod",8,2720.21301871204
"Whiting",2004,9,"Cod",8,2087.78933946833
"Whiting",2005,9,"Cod",8,2660.22787833452
"Whiting",2006,9,"Cod",8,1417.75602763105
"Whiting",2007,9,"Cod",8,1337.24120878869
"Whiting",2008,9,"Cod",8,1370.70290010244
"Whiting",2009,9,"Cod",8,1004.23340065518
"Whiting",2010,9,"Cod",8,998.103105949038
"Whiting",2011,9,"Cod",8,2386.79711655267
"Whiting",2012,9,"Cod",8,2703.40523592467
"Whiting",2013,9,"Cod",8,2370.10760092066
"Whiting",2014,9,"Cod",8,1227.20626455728
"Whiting",2015,9,"Cod",8,950.240711588245
"Whiting",2016,9,"Cod",8,1929.69570072932
"Whiting",2017,9,"Cod",8,773.439521156339
"Whiting",2018,9,"Cod",8,999.243578860364
"Whiting",2019,9,"Cod",8,2470.16584137202
"Sea birds",1974,1,"Whiting",9,12387.5346088828
"Sea birds",1975,1,"Whiting",9,17944.6281677483
"Sea birds",1976,1,"Whiting",9,19915.8933314124
"Sea birds",1977,1,"Whiting",9,20972.969531971
"Sea birds",1978,1,"Whiting",9,15948.9421418625
"Sea birds",1979,1,"Whiting",9,15686.7331022963
"Sea birds",1980,1,"Whiting",9,19737.5255068486
"Sea birds",1981,1,"Whiting",9,13553.2216029229
"Sea birds",1982,1,"Whiting",9,11431.0117469075
"Sea birds",1983,1,"Whiting",9,11441.4469544248
"Sea birds",1984,1,"Whiting",9,12865.9790265508
"Sea birds",1985,1,"Whiting",9,11752.4417650285
"Sea birds",1986,1,"Whiting",9,14861.2157074422
"Sea birds",1987,1,"Whiting",9,16558.8696264175
"Sea birds",1988,1,"Whiting",9,16852.9227871287
"Sea birds",1989,1,"Whiting",9,19616.5398790326
"Sea birds",1990,1,"Whiting",9,12243.2216872642
"Sea birds",1991,1,"Whiting",9,11359.3191425658
"Sea birds",1992,1,"Whiting",9,10196.6627386719
"Sea birds",1993,1,"Whiting",9,9647.39296579971
"Sea birds",1994,1,"Whiting",9,7907.46055708
"Sea birds",1995,1,"Whiting",9,7058.361825514
"Sea birds",1996,1,"Whiting",9,5814.87211314146
"Sea birds",1997,1,"Whiting",9,3978.23525996262
"Sea birds",1998,1,"Whiting",9,7874.99535656814
"Sea birds",1999,1,"Whiting",9,9176.08086547585
"Sea birds",2000,1,"Whiting",9,8020.03823399186
"Sea birds",2001,1,"Whiting",9,10740.7634870738
"Sea birds",2002,1,"Whiting",9,8393.24165616257
"Sea birds",2003,1,"Whiting",9,6699.78192905586
"Sea birds",2004,1,"Whiting",9,6002.09862144969
"Sea birds",2005,1,"Whiting",9,6813.29820970635
"Sea birds",2006,1,"Whiting",9,6485.14719477966
"Sea birds",2007,1,"Whiting",9,6147.01102047374
"Sea birds",2008,1,"Whiting",9,6864.46013445392
"Sea birds",2009,1,"Whiting",9,4445.5549299761
"Sea birds",2010,1,"Whiting",9,3539.92547099843
"Sea birds",2011,1,"Whiting",9,5138.81537507291
"Sea birds",2012,1,"Whiting",9,4746.0724060574
"Sea birds",2013,1,"Whiting",9,3517.73582293335
"Sea birds",2014,1,"Whiting",9,4345.40228749099
"Sea birds",2015,1,"Whiting",9,4272.41195101735
"Sea birds",2016,1,"Whiting",9,7842.39017843167
"Sea birds",2017,1,"Whiting",9,6402.69308066706
"Sea birds",2018,1,"Whiting",9,4972.08167469755
"Sea birds",2019,1,"Whiting",9,5266.02345302749
"A.radiata",1974,2,"Whiting",9,2295.1752182658
"A.radiata",1975,2,"Whiting",9,2148.576588
"A.radiata",1976,2,"Whiting",9,2393.3998704204
"A.radiata",1977,2,"Whiting",9,2844.1438747956
"A.radiata",1978,2,"Whiting",9,2220.087931704
