"Year","Species.n","Species","Yield","yield.core","DeadM1","DeadM2","DeadM1.core","DeadM2.core","Fbar","SSB","TSB","Recruits"
1974,16,"Cod",252714,235077,69247.0753470475,136294.645864217,64574.6503390186,126979.99796533,0.720951,182550,409477,6978740
1975,16,"Cod",241132,223411,70987.44912027,145141.07383776,65871.7654879312,134263.995961226,0.754839,169517,406594,4530150
1976,16,"Cod",305329,279228,71216.829551153,207933.97853662,65532.0130354139,191663.732019797,0.824809,152545,435130,14980300
1977,16,"Cod",347182,317798,75875.952064493,223786.802175203,69498.1112186747,205123.863338883,0.809199,123997,420185,9104810
1978,16,"Cod",327061,297112,74760.0082686055,219480.219232096,68076.5796984234,199038.758060783,0.939042,119158,483104,12173400
1979,16,"Cod",428086,384643,77771.0545377665,188434.646651919,70077.6995514267,169082.140173535,0.759279,113966,451516,8293990
1980,16,"Cod",587443,526266,81445.7452275975,214346.627935055,73462.1641537376,190753.152755375,0.882367,127478,473785,9139360
1981,16,"Cod",390754,350786,80002.0644458075,292555.213073252,72059.89668822,258128.597653166,0.875337,132257,509047,24729400
1982,16,"Cod",356376,318222,68267.27109332,204505.803538276,61044.6061269772,178279.757630297,0.945759,124119,418360,9084030
1983,16,"Cod",279032,249094,59224.032805148,177335.861796128,52681.2660289792,152399.900849019,0.951622,107534,385516,9367150
1984,16,"Cod",378275,328907,59898.887542282,180277.803712684,52648.4638824125,152843.718750394,0.882868,94101.3,349207,7590180
1985,16,"Cod",245642,216982,54674.9087623655,151524.291100576,48153.2239307151,128168.280691061,0.891861,96999.8,361574,8064750
1986,16,"Cod",339692,287510,52257.6482291155,148876.861588295,44854.8054022743,121900.981290259,0.963442,83992.4,295779,5613490
1987,16,"Cod",243840,212730,51257.176434046,133948.707569965,44282.8220224439,110486.445017858,0.961066,86128.2,342417,4885550
1988,16,"Cod",193767,169043,42363.0664729805,103670.267753653,36424.5731587654,83773.4328216149,0.939335,83796.1,275364,4195570
1989,16,"Cod",201155,169842,38839.5811348845,106478.726549776,32790.9236589885,83426.0064047321,0.981233,77632.9,234636,3269510
1990,16,"Cod",151592,130559,35538.7590565295,104121.560711196,30126.6967453959,81761.2672806063,0.910349,75094.8,236768,4040990
1991,16,"Cod",119678,102326,30889.0769073005,95342.0778362716,25857.2701726661,72730.094672654,0.91162,71299.3,188903,5132850
1992,16,"Cod",148985,122121,33613.055497952,100360.774459915,27375.963004409,74584.9603676767,0.875951,68382.4,196839,3377240
1993,16,"Cod",132900,113211,34363.9958932335,109573.612950693,28305.108777841,82445.4595642525,0.818554,70103.6,211235,5207860
1994,16,"Cod",216500,167183,37678.6850992905,111908.609079215,30062.010426238,79739.6563406934,0.835134,76436,212803,4502730
1995,16,"Cod",198306,164350,39583.128517617,114432.345021648,32054.8583976353,83272.6798193805,0.924948,85618.3,248193,4291380
1996,16,"Cod",142941,121723,34660.0986696637,110392.156337731,27953.26046057,77786.0901402226,0.986684,86911.2,224791,6035270
1997,16,"Cod",135372,108586,37117.0624503925,114553.449809637,28199.7591924687,76165.0408751322,0.893453,74280,201710,3385910
1998,16,"Cod",136757,114378,31444.9260223442,103003.212874017,25459.0027486966,75188.0774717522,0.958943,76464.7,227050,4193760
1999,16,"Cod",95882.7,80962.6,20458.7549476568,83048.6229049057,15989.4500027943,53442.9093669476,1.08268,63243.4,135396,7380050
2000,16,"Cod",77117.6,62597.9,21135.507946885,71069.3669445351,15562.6965433141,46244.9570074804,1.03713,47395.4,121699,2488520
2001,16,"Cod",78723.3,65296.6,20689.7292990517,68417.1663987329,16129.9421863173,47592.6794941998,0.981435,53121.7,141793,2965830
2002,16,"Cod",56581.5,46425.3,16614.2884985586,61766.3912200583,12673.9992848035,39673.221774232,0.893882,45631.2,100878,3919550
2003,16,"Cod",51655.7,43455.3,14443.7892369167,67574.9505432733,11043.5945220225,42957.0295785963,0.903345,43878.7,92129.3,5300860
2004,16,"Cod",40848,33422.2,13743.5849934852,65914.6055332434,10071.1967830263,40841.2251521506,0.825476,36868.1,78082.1,4368400
2005,16,"Cod",36580,29988.5,14430.3046625929,89161.137163639,10570.9443054347,55430.7803977553,0.751308,37735.5,83726,7244690
2006,16,"Cod",37577,29904.6,15984.2506450781,78131.6065008891,11321.9565839072,47637.7775676126,0.799141,40424.7,89791.3,4144370
2007,16,"Cod",54641.2,43409.2,17260.8844647248,78750.9703669397,12935.9267932807,51200.3815680054,0.61812,49736.8,103738,4338770
2008,16,"Cod",51795,42548.2,16429.5193068883,73371.8983829888,12563.6289153365,46052.8299776172,0.692558,56980.7,98134,5280880
2009,16,"Cod",54026.1,44498.7,15740.3957613372,57109.6517331139,12027.0760459359,35658.6253543098,0.722692,56184.8,94602.5,3388820
2010,16,"Cod",49105.7,40647.8,16851.0451290707,60682.4076103381,12627.5080138641,38005.245926371,0.703658,53134.7,94427.9,3068840
2011,16,"Cod",40686.8,33860.9,17627.1804245071,83986.6167601897,13571.6407631748,52879.0312802914,0.582148,58645.6,103933,7007070
2012,16,"Cod",40764,34098.7,17167.9589981557,79533.9956471494,13308.4743041131,48989.6946880673,0.566068,58414.8,95214.5,7682260
2013,16,"Cod",40757.4,34267.8,18646.9018783147,84900.1095605398,14231.9640533047,52753.0274629713,0.534439,57896.8,99302.9,7223360
2014,16,"Cod",45192.4,37413.2,20691.866955412,75551.1163827141,15797.7181333227,48605.9336030785,0.488836,61819.1,113677,4310530
2015,16,"Cod",49899.9,41289.8,21002.5875933844,65250.837821878,16548.3160037692,43249.5830700074,0.486233,69911.8,122281,3871630
2016,16,"Cod",50310.5,42802.5,19305.4835265536,56632.9861503814,15767.595329867,37517.4521347969,0.462776,71368.9,110852,4563460
2017,16,"Cod",46368.7,39919.1,18989.2298469903,42639.9130947725,15220.9606236181,27621.4359904157,0.500756,66112.8,101659,1731490
2018,16,"Cod",47904.1,40579.7,15858.2932344998,50224.2461000408,12616.4822470668,33597.6107266485,0.666424,64414.8,105497,2965870
2019,16,"Cod",35920.4,30783.7,15483.2454244461,46815.9086921894,12104.0909912275,30958.1811481834,0.549791,46886.4,77999.5,3655180
1974,17,"Whiting",323103,290793,97911.7009924957,595184.218045618,88120.5308932461,535665.796241057,0.876049,395817,544677,42841800
1975,17,"Whiting",276575,248917,107827.039288542,600259.425587761,97044.3353596876,540233.483028985,0.889602,306527,571108,38338300
1976,17,"Whiting",326266,293639,112326.905638518,701062.683918962,101094.215074667,630956.415527066,0.959523,402187,662818,40360500
1977,17,"Whiting",289854,260868,103957.217600432,547542.313185164,93561.4958403889,492788.081866648,0.700922,383817,582908,33585700
1978,17,"Whiting",188195,169375,103220.913861259,616026.847765038,92898.8224751327,554424.162988534,0.627292,378490,604648,34100700
1979,17,"Whiting",243608,219247,108613.340682387,459211.488159219,97752.0066141481,413290.339343297,0.69644,382384,605583,25866000
1980,17,"Whiting",223322,200990,104614.882119553,444097.429252553,94153.3939075974,399687.686327298,0.739185,395640,611587,20233900
1981,17,"Whiting",192184,172965,87158.5898020555,567633.442395729,78442.73082185,510870.098156156,0.635308,405994,546728,33311500
1982,17,"Whiting",140266,126239,62798.4087535246,298770.35994489,56518.5678781721,268893.323950401,0.514571,300439,393382,14930500
1983,17,"Whiting",161319,145187,55868.9191703388,254127.976320435,50282.027253305,228715.178688392,0.707661,245170,337285,16096000
1984,17,"Whiting",145614,131052,51007.4519960523,272778.794585897,45906.7067964471,245500.915127308,0.842029,189381,295279,17569200
1985,17,"Whiting",100364,90327.9,52046.4260415692,235709.203905814,46841.7834374122,212138.283515232,0.623869,191029,275396,17125900
1986,17,"Whiting",161508,145357,66715.7558175805,315799.708613699,60044.1802358225,284219.737752329,0.817267,198048,339943,23375400
1987,17,"Whiting",138802,124922,61190.8649863286,317068.211322489,55071.7784876957,285361.39019024,0.941283,213699,346103,20680600
1988,17,"Whiting",133209,119888,59532.966664336,300468.229944366,53579.6699979024,270421.40694993,0.736213,216728,310424,24178800
1989,17,"Whiting",123582,111224,62795.4015980707,314351.830906713,56515.8614382636,282916.647816042,0.734368,213031,361498,16755100
1990,17,"Whiting",152614,137352,54297.1005280954,246083.932547668,48867.3904752859,221475.539292901,0.775003,231135,327209,14518900
1991,17,"Whiting",126730,114057,52088.8463162117,207517.901515697,46879.9616845905,186766.111364127,0.612143,211183,296886,13034000
1992,17,"Whiting",108541,97686.8,51157.6340438282,255793.558046884,46041.8706394454,230214.202242195,0.590161,199390,274765,20001900
1993,17,"Whiting",116921,105229,46109.9405435682,230588.091903167,41498.9464892114,207529.28271285,0.717778,185654,267991,15882300
1994,17,"Whiting",101644,91479.2,44398.7847237196,215411.888711736,39958.9062513477,193870.699840562,0.670981,170694,251227,14749200
1995,17,"Whiting",105486,94937.8,45509.1235667473,225071.221528111,40958.2112100726,202564.0993753,0.580639,171464,254504,14275200
1996,17,"Whiting",76123.2,68510.9,36013.2845747521,148018.511894958,32411.9561172769,133216.660705463,0.534174,157910,222688,7166180
1997,17,"Whiting",61432.2,55289,34009.4595603356,191806.411465407,30608.513604302,172625.770318866,0.475958,133580,175309,16144900
1998,17,"Whiting",47478.1,42730.3,38254.6048497789,309024.229138099,34429.144364801,278121.806224289,0.388916,115753,171075,27381700
1999,17,"Whiting",60836.2,54752.5,36226.5825722747,300707.758518354,32603.9243150472,270636.982666518,0.526296,116158,200185,21890100
2000,17,"Whiting",63812.5,57431.3,44044.4006406805,258268.658775831,39639.9605766125,232441.792898248,0.578067,124851,211202,21151900
2001,17,"Whiting",45244.9,40720.4,49361.3056320275,318549.0508255,44425.1750688247,286694.14574295,0.342658,151259,238536,25263400
2002,17,"Whiting",46448.2,41803.3,41644.451398208,283697.211212707,37480.0062583872,255327.490091436,0.309201,156702,228793,19685400
2003,17,"Whiting",45642.7,41078.4,32973.4073451995,214187.519003002,29676.0666106796,192768.767102701,0.340343,145102,184181,16601700
2004,17,"Whiting",33557.6,30201.9,28833.455794466,209711.45187554,25950.1102150194,188740.306687986,0.265787,119398,153530,16714700
2005,17,"Whiting",28878.8,25990.9,27456.671253564,193877.443493469,24711.0041282076,174489.699144122,0.251892,103134,143861,15112800
2006,17,"Whiting",36764.3,33087.9,25797.95224915,191956.702037701,23218.157024235,172761.031833931,0.310408,95387.7,131891,15863600
2007,17,"Whiting",26973.6,24276.3,25037.417113289,218323.037278464,22533.6754019601,196490.733550617,0.278255,90943.5,121112,19015300
2008,17,"Whiting",28242.3,25418.1,26652.2887165365,217464.130127771,23987.0598448829,195717.717114993,0.275937,95207.5,133089,17727400
2009,17,"Whiting",28417,25575.3,24295.9408364035,128106.148431337,21866.3467527632,115295.533588204,0.254885,97995.6,130898,8585090
2010,17,"Whiting",34442.1,30997.9,32380.083192809,200161.611935856,29142.0748735281,180145.450742271,0.279818,121276,154919,16379900
2011,17,"Whiting",30665.4,27598.9,33051.655464014,223482.979189322,29746.4899176126,201134.68127039,0.258407,124143,163934,17888600
2012,17,"Whiting",30210.7,27189.7,29495.765437943,154937.069881044,26546.1888941487,139443.36289294,0.210166,134396,161873,11030100
2013,17,"Whiting",26661.3,23995.2,28616.285206777,166854.789345021,25754.6566860993,150169.310410519,0.205577,124888,143439,13939800
2014,17,"Whiting",28362.2,25526,31508.6481556595,197254.287487633,28357.7833400936,177528.858738869,0.239385,120102,157225,15777400
2015,17,"Whiting",36249.6,32624.6,33840.7521660405,254451.378952717,30456.6769494365,229006.241057445,0.289884,122323,157352,22961800
2016,17,"Whiting",33392.6,30053.3,36139.077858418,265062.852074853,32525.1700725762,238556.566867368,0.282306,131317,169464,22921900
2017,17,"Whiting",29344.4,26410,35770.1502078915,214677.998437121,32193.1351871024,193210.198593409,0.22402,143865,187587,14723900
2018,17,"Whiting",28436.8,25593.1,33313.700253676,158160.19940073,29982.3302283084,142344.179460657,0.214265,147399,178799,10720000
2019,17,"Whiting",31281.4,28153.3,34844.6147894575,170277.281468374,31360.1533105118,153249.553321537,0.24572,135013,165790,14668800
1974,18,"Haddock",396271,348718,157762.269682162,978507.014988459,138830.797320302,861086.173189844,0.737769,312828,864194,46410500
1975,18,"Haddock",494728,435361,186725.070313246,868675.631083384,164318.061875656,764434.555353378,0.869773,141186,1281940,4286070
1976,18,"Haddock",402850,354508,128949.623106402,422117.716559784,113475.668333634,371463.59057261,0.824426,165274,932023,6594740
1977,18,"Haddock",240340,211499,69032.9647505687,298923.383777265,60749.0089805005,263052.577723993,0.74908,325907,468865,12758400
1978,18,"Haddock",146706,129101,61582.6177013291,369427.482657768,54192.7035771696,325096.184738835,0.794899,127252,355690,17776400
1979,18,"Haddock",149064,131177,94464.32244779,643704.976728344,83128.6037540552,566460.379520943,0.841127,80658.1,469430,33525900
1980,18,"Haddock",202451,178157,135215.625451217,634769.66715436,118989.750397071,558597.307095837,0.808176,93151.3,807021,15254300
1981,18,"Haddock",226485,199306,131498.062063854,631327.952223254,115718.294616192,555568.597956464,0.562508,164950,799577,22900900
1982,18,"Haddock",256108,225375,113174.695794725,478847.256699632,99593.7322993577,421385.585895676,0.523694,385348,747904,11772900
1983,18,"Haddock",253230,222842,97196.7956307505,406780.65255651,85533.1801550604,357966.974249729,0.719412,261410,563954,20527200
1984,18,"Haddock",247089,217439,100066.272057767,340801.465092683,88058.3194108349,299905.289281561,0.858189,225859,638729,6557670
1985,18,"Haddock",247098,217447,85557.3193536116,221541.439150763,75290.4410311782,194956.466452672,0.78565,150938,543972,7009670
1986,18,"Haddock",223727,196880,73337.8742036936,258560.633522024,64537.3292992503,227533.357499381,0.81664,249136,416337,14796700
1987,18,"Haddock",194995,171595,71796.7198094663,164585.21835418,63181.1134323303,144834.992151678,0.935999,156713,464406,1683510
1988,18,"Haddock",179974,158377,51588.2587787333,76420.0206706066,45397.6677252853,67249.6181901338,0.995266,118731,365364,1434470
1989,18,"Haddock",127719,112393,27225.1680372795,55364.4555303948,23958.147872806,48720.7208667474,0.935025,149142,193462,2399490
1990,18,"Haddock",86747.9,76338.1,22580.553803017,92762.7675319981,19870.887346655,81631.2354281584,0.891411,67343.8,124190,5597970
1991,18,"Haddock",97264.3,85592.6,31114.8102553279,124276.267797703,27381.0330246885,109363.115661978,0.958316,39694.5,155131,6570870
1992,18,"Haddock",135185,118962,47952.5976015366,187147.551353395,42198.2858893522,164689.845190987,0.829242,39384.8,244028,9560290
1993,18,"Haddock",180218,158592,59514.3233762013,153474.730455135,52372.6045710571,135057.762800518,0.975028,85209.9,368014,3270580
1994,18,"Haddock",169436,149104,66046.9178866655,225052.066482796,58121.2877402656,198045.818504861,0.916468,103148,345413,15208600
1995,18,"Haddock",168928,148656,79294.3511741796,299246.735239342,69779.0290332781,263337.127010621,0.807986,133567,486431,6539430
1996,18,"Haddock",204683,180121,71926.8595153329,162066.239176281,63295.6363734929,142618.290475127,0.889955,94338.2,461788,4759960
1997,18,"Haddock",170009,149608,55980.9820771127,114589.152640563,49263.2642278591,100838.454323696,0.686931,189393,341415,3443700
1998,18,"Haddock",161929,142498,43292.284017408,75322.4058367947,38097.209935319,66283.7171363793,0.755695,132787,278156,1969630
1999,18,"Haddock",123489,108670,47643.4135125394,202128.092044755,41926.2038910347,177872.720999385,1.00171,111006,188105,20854700
2000,18,"Haddock",126823,111604,104341.953242331,309624.910336024,91820.9188532517,272469.921095701,0.962825,63900.9,530580,5682210
2001,18,"Haddock",173366,152562,129123.613706223,141709.672996709,113628.780061477,124704.512237104,0.74565,38297.4,729697,930207
2002,18,"Haddock",155333,136693,81457.2918525842,85703.3815603608,71682.4168302741,75418.9757731175,0.616513,400242,531113,1413590
2003,18,"Haddock",74350.2,65428.2,51005.2895578176,54459.4016821316,44884.6548108794,47924.2734802758,0.337345,272707,304529,1796110
2004,18,"Haddock",72513.1,63811.5,33117.3185815785,62148.3062660952,29143.2403517891,54690.5095141638,0.365061,167993,210614,1515770
2005,18,"Haddock",64115.2,56421.3,33788.2682316171,172013.873515765,29733.676043823,151372.208693873,0.407692,104863,140118,12724100
2006,18,"Haddock",66967.2,58931.2,43218.1234748561,198584.410888244,38031.9486578733,174754.281581655,0.674356,65991.7,272618,2770790
2007,18,"Haddock",67425.3,59334.3,42514.4068788832,85710.2388414002,37412.6780534172,75425.0101804321,0.652985,37169.1,248624,1632080
2008,18,"Haddock",47787,42052.6,34542.3880892495,50554.7655047996,30397.3015185395,44488.1936442236,0.394053,142129,202907,1024450
2009,18,"Haddock",47952.5,42198.2,29154.273880738,77578.4318317688,25655.7610150494,68269.0200119566,0.334931,101959,142537,5164880
2010,18,"Haddock",45377.6,39932.3,38986.4633951057,99622.5533355387,34308.087787693,87667.8469352741,0.363461,83081.4,216014,700604
2011,18,"Haddock",49689.9,43727.1,36609.3178306846,46086.4412778306,32216.1996910024,40556.0683244909,0.509663,60538,214222,318828
2012,18,"Haddock",43194.2,38010.9,30444.0033151839,25271.9224917835,26790.7229173619,22239.2917927695,0.315639,158178,175300,806966
2013,18,"Haddock",47127.4,41472.1,23756.770768793,21730.6243405294,20905.9582765378,19122.9494196658,0.273895,119480,137721,487603
2014,18,"Haddock",46284,40729.9,19986.8759645581,55177.4273133475,17588.4508488111,48556.1360357458,0.485505,78455.5,103849,4075370
2015,18,"Haddock",41558.9,36571.8,24231.5556499689,71245.9156502808,21323.7689719726,62696.4057722471,0.787185,55302.9,143196,1313340
2016,18,"Haddock",43152.2,37973.9,27320.8533252307,64041.9113844451,24042.350926203,56356.8820183117,0.507454,30614.5,148756,2070650
2017,18,"Haddock",40793.9,35898.7,28938.9706946377,56569.8293205993,25466.2942112812,49781.4498021274,0.37567,102293,164851,1141300
2018,18,"Haddock",39492.2,34753.2,27650.0794762753,52425.4119763629,24332.0699391222,46134.3625391993,0.280114,87011.1,150580,1703740
2019,18,"Haddock",36601.4,32209.3,38529.4584741973,106719.345023738,33905.9234572936,93913.0236208896,0.236765,100302,153139,8875810
1974,19,"Saithe",341457,310725,158338.398130245,0,144087.942298523,0,0.458002,573596,875148,281532
1975,19,"Saithe",308362,280610,154211.044664845,0,140332.050645009,0,0.521892,495770,836887,150858
1976,19,"Saithe",432832,393877,131056.7166238,0,119261.612127658,0,0.574941,374747,750073,180779
1977,19,"Saithe",242626,220790,97901.904945895,0,89090.7335007645,0,0.736505,297631,616398,160298
1978,19,"Saithe",179361,163218,84521.46614877,0,76914.5341953807,0,0.433067,251328,461191,355182
1979,19,"Saithe",144250,131268,90885.2089097,0,82705.540107827,0,0.449539,244006,487822,273220
1980,19,"Saithe",146784,133573,90078.305444725,0,81971.2579546998,0,0.523838,226675,474834,277904
1981,19,"Saithe",150025,136523,104628.68212479,0,95212.1007335589,0,0.491564,216674,555629,251903
1982,19,"Saithe",205438,186949,105534.250654655,0,96036.1680957361,0,0.502716,196908,569007,304933
1983,19,"Saithe",205616,187111,94747.797258785,0,86220.4955054944,0,0.713153,200405,549760,626345
1984,19,"Saithe",245308,223230,87225.704464086,0,79375.3910623183,0,0.603397,165866,452603,293857
1985,19,"Saithe",280080,254873,92743.493194897,0,84396.5788073563,0,0.596011,144637,449926,268535
1986,19,"Saithe",236972,215644,89946.098013446,0,81850.9491922359,0,0.795863,130021,517255,174444
1987,19,"Saithe",195418,177830,72033.635399367,0,65550.608213424,0,0.666529,131981,403172,167756
1988,19,"Saithe",156418,142340,62357.832266901,0,56745.6273628799,0,0.722534,132105,363225,231185
1989,19,"Saithe",126442,115063,55141.4815185465,0,50178.7481818773,0,0.657161,112252,305517,186884
1990,19,"Saithe",126902,115481,55037.201148202,0,50083.8530448638,0,0.582735,107302,287686,224965
1991,19,"Saithe",133739,121702,56227.2892325575,0,51166.8332016273,0,0.570897,100980,296386,169956
1992,19,"Saithe",117430,106862,63652.5299616715,0,57923.8022651211,0,0.538905,98910.5,312356,489321
1993,19,"Saithe",135112,122952,69844.3690647835,0,63558.375848953,0,0.70467,110958,356217,207479
1994,19,"Saithe",128816,117223,79367.9797340445,0,72224.8615579805,0,0.522058,109729,367156,286034
1995,19,"Saithe",143477,130564,109956.194798781,0,100060.13726689,0,0.643388,133958,559304,136756
1996,19,"Saithe",130551,118801,93738.849170154,0,85302.3527448401,0,0.557204,146953,490391,264142
1997,19,"Saithe",121523,110586,92420.6317731695,0,84102.7749135842,0,0.406978,178917,469615,145764
1998,19,"Saithe",118480,107816,80015.9665517625,0,72814.5295621039,0,0.428943,179222,407369,320598
1999,19,"Saithe",120395,109560,80815.25691852,0,73541.8837958532,0,0.56363,181804,422772,353647
2000,19,"Saithe",94675.6,86154.8,88526.20819981,0,80558.8494618271,0,0.412336,171395,427753,243400
2001,19,"Saithe",104100,94731.3,101095.47057005,0,91996.8782187455,0,0.322381,179355,474384,188629
2002,19,"Saithe",129849,118162,111227.39273629,0,101216.927390024,0,0.426221,211463,563001,309160
2003,19,"Saithe",121658,110709,92387.755665515,0,84072.8576556187,0,0.451966,201443,476931,126066
2004,19,"Saithe",113792,103551,106003.378607125,0,96463.0745324838,0,0.323517,251591,528962,175592
2005,19,"Saithe",119234,108503,95654.619965645,0,87045.7041687369,0,0.380802,236010,498399,112964
2006,19,"Saithe",128711,117127,91434.12158304,0,83205.0506405664,0,0.366888,258348,483793,121621
2007,19,"Saithe",106333,96763.1,82055.388575465,0,74670.4036036732,0,0.313184,240467,426561,186722
2008,19,"Saithe",129887,118197,73516.08892352,0,66899.6409204032,0,0.46643,228777,401195,101313
2009,19,"Saithe",114519,104213,69636.54419816,0,63369.2552203256,0,0.466099,218703,374947,170917
2010,19,"Saithe",104723,95297.9,71324.20349816,0,64905.0251833256,0,0.470153,206629,386009,182202
2011,19,"Saithe",102008,92827.5,62146.026854305,0,56552.8844374176,0,0.435803,163022,323258,114520
2012,19,"Saithe",87049.1,79214.6,62327.552945905,0,56718.0731807736,0,0.402222,146471,314584,146256
2013,19,"Saithe",87269.8,79415.5,64390.804900215,0,58595.6324591957,0,0.363202,149221,327962,225857
2014,19,"Saithe",82171.6,74776.2,67247.91529616,0,61195.6029195056,0,0.381356,171574,345620,161144
2015,19,"Saithe",81446.6,74116.4,70665.44435389,0,64305.5543620399,0,0.379743,178840,355544,92743.4
2016,19,"Saithe",77671.3,70680.9,74271.83444795,0,67587.3693476345,0,0.348613,170835,375860,130827
2017,19,"Saithe",94572.8,86061.3,73970.035195885,0,67312.7320282554,0,0.406336,196571,396637,210969
2018,19,"Saithe",95446.2,86856,68051.52772043,0,61926.8902255913,0,0.371955,196742,355681,204577
2019,19,"Saithe",96634.5,87937.4,73988.87646302,0,67329.8775813482,0,0.370335,207129,375693,204427
1974,20,"Mackerel",604750,220247,922130.882958938,0,182045.815173617,0,0.123877,4960250,5599670,4539640
1975,20,"Mackerel",780518,466992,901652.779333913,0,217668.286631354,0,0.165649,4767990,5527790,4633300
1976,20,"Mackerel",826864,205545,877271.821223662,0,140258.459638015,0,0.188141,4536020,5388480,3056910
1977,20,"Mackerel",619776,109430,835966.128344625,0,110699.463104299,0,0.147283,4364960,5145360,779005
1978,20,"Mackerel",735619,130770,741510.454166625,0,83912.4966621863,0,0.186442,4272620,4789750,2419530
1979,20,"Mackerel",840578,239951,645546.417028875,0,90634.2071547338,0,0.229804,3770900,4159690,4645450
1980,20,"Mackerel",733063,246183,540547.179047587,0,96847.39731942,0,0.244064,2699800,3257250,5285780
1981,20,"Mackerel",750656,257298,562380.673839982,0,87439.7426865684,0,0.252027,2449280,3263130,6394360
1982,20,"Mackerel",716385,262855,598706.031626738,0,107863.273945121,0,0.248243,2447770,3414660,1759610
1983,20,"Mackerel",671927,250657,561060.545548763,0,114578.250648921,0,0.213445,2622690,3407790,1268730
1984,20,"Mackerel",633027,256929,493788.641799502,0,106271.694156199,0,0.219993,2642290,3052670,6108660
1985,20,"Mackerel",609877,244303,548944.65146769,0,122248.235474684,0,0.196696,2523150,3127100,3013240
1986,20,"Mackerel",600246,263876,564716.682445751,0,172438.494105276,0,0.184274,2607790,3336140,3118220
1987,20,"Mackerel",654429,287221,542129.079493462,0,162277.115770032,0,0.20161,2637990,3231510,4672690
1988,20,"Mackerel",677317,295331,562788.938514562,0,166091.111980104,0,0.21851,2618620,3309500,3171950
1989,20,"Mackerel",582714,255824,546984.502634963,0,165415.496342349,0,0.186851,2488220,3224750,3934290
1990,20,"Mackerel",624046,271781,555747.201389138,0,165865.094630278,0,0.202885,2640460,3279870,2876700
1991,20,"Mackerel",674986,296164,549212.001098513,0,164918.538577603,0,0.240485,2752910,3357010,3398790
1992,20,"Mackerel",758475,332009,523895.832426368,0,154674.715511633,0,0.277803,2701890,3198580,4221510
1993,20,"Mackerel",823385,360218,521436.005308125,0,152222.245793809,0,0.320611,2581110,3153570,4526020
1994,20,"Mackerel",817922,357445,517470.791288662,0,151163.82373907,0,0.344267,2516520,3109760,3915960
1995,20,"Mackerel",755210,331225,523142.550036,0,153242.530150701,0,0.326588,2538180,3142080,3365180
1996,20,"Mackerel",561267,244597,500602.103372887,0,148277.898817441,0,0.244928,2426950,2952780,3479750
1997,20,"Mackerel",570291,248053,499320.187505325,0,147497.603127723,0,0.237454,2442780,2951170,2907090
1998,20,"Mackerel",662343,263275,474479.382809325,0,129119.298159616,0,0.271058,2441060,2867130,2946840
1999,20,"Mackerel",636297,253018,461461.316790413,0,124642.545350873,0,0.280668,2385900,2802220,3319420
2000,20,"Mackerel",736472,292978,434193.63110775,0,116155.832909879,0,0.332669,2250710,2659050,1978210
2001,20,"Mackerel",735748,315687,387762.715237238,0,111141.788609563,0,0.371428,2096890,2442200,3964430
2002,20,"Mackerel",770238,311527,363487.85579445,0,96645.577564362,0,0.447332,1798840,2182290,5369230
2003,20,"Mackerel",678030,268113,407309.81217588,0,107280.205051656,0,0.429759,1754690,2326450,3526370
2004,20,"Mackerel",684412,274417,434021.352752456,0,118424.63138817,0,0.469797,2051850,2512370,4838220
2005,20,"Mackerel",549854,209035,466624.404185044,0,121283.141846844,0,0.342696,1975310,2551340,7768810
2006,20,"Mackerel",478373,176491,594321.401864385,0,151037.807758597,0,0.279557,2203630,3096250,8887690
2007,20,"Mackerel",588318,205685,737095.265994622,0,182739.418405121,0,0.314318,2674100,3912710,8156650
2008,20,"Mackerel",622041,211552,831119.260944562,0,201221.142801092,0,0.289893,3185670,4520700,7630300
2009,20,"Mackerel",738620,243763,895000.337981929,0,209945.630692519,0,0.269774,3748710,4976660,7272140
2010,20,"Mackerel",877019,245683,924054.386232941,0,188764.780434207,0,0.253725,4199120,5179320,10941000
2011,20,"Mackerel",947366,255985,1101601.07815283,0,217967.827575697,0,0.236178,4870040,6096790,10225900
2012,20,"Mackerel",895262,233142,1173036.42542932,0,226457.968068121,0,0.206422,5049370,6537090,5919060
2013,20,"Mackerel",933733,224728,1102171.15603976,0,195901.669600736,0,0.20353,5385480,6419830,4635800
2014,20,"Mackerel",1395450,321382,1018353.59762801,0,170385.378401626,0,0.25551,5436580,6169030,7017270
2015,20,"Mackerel",1215560,268205,1027750.26312795,0,165847.246733093,0,0.238574,5449210,6148420,2690600
2016,20,"Mackerel",1096450,264065,959137.4991432,0,166560.613707201,0,0.226499,5255170,5912910,8132610
2017,20,"Mackerel",1155500,255063,907437.394325775,0,157982.175989185,0,0.245115,4578900,5354940,4868670
2018,20,"Mackerel",1025910,216581,916561.563150862,0,148175.192354439,0,0.234736,4368590,5494290,5853330
2019,20,"Mackerel",840182,168839,886309.785322238,0,140622.011696759,0,0.196276,4207010,5209220,4217490
1974,21,"Herring",266013,266013,30091.8623934323,104334.293783551,30091.8623934323,104334.293783551,0.715947,227630,271876,9882040
1975,21,"Herring",253937,253937,19793.8938327293,56360.3205955168,19793.8938327293,56360.3205955168,1.25367,157296,201612,4123200
1976,21,"Herring",159255,159255,10695.6361092033,30815.779432794,10695.6361092033,30815.779432794,0.810644,81942,100128,2249420
