"Year","Species.n","Age","M2"
1976,22,1,1.34615904123559
1976,24,1,2.01822593308213
1976,26,1,0
1976,23,1,0.594898367353981
1976,19,1,0
1976,27,1,0
1976,25,1,1.47565371940641
1976,17,1,1.31286551267516
1977,16,1,1.04700162572958
1977,18,1,1.18847298126455
1977,21,1,0.477359878977396
1977,20,1,0
1977,22,1,1.14425697879308
1977,24,1,1.83917573211016
1977,26,1,0
1977,23,1,0.608222427265514
1977,19,1,0
1977,27,1,0
1977,25,1,1.60789998244279
1977,17,1,1.367330688666
1978,16,1,1.11371154085857
1978,18,1,1.38826554819536
1978,21,1,0.424188503568979
1978,20,1,0
1978,22,1,1.05738499711742
1978,24,1,1.84255966457655
1978,26,1,0
1978,23,1,0.514064164300636
1978,19,1,0
1978,27,1,0
1978,25,1,1.31797531642036
1978,17,1,1.34931055100382
1979,16,1,1.10624279537856
1979,18,1,1.2770335183641
1979,21,1,0.422458379259399
1979,20,1,0
1979,22,1,1.06176376567705
1979,24,1,1.55582087741528
1979,26,1,0
1979,23,1,0.439093236433697
1979,19,1,0
1979,27,1,0
1979,25,1,1.17637087141452
1979,17,1,0.999708284596181
1980,16,1,0.958728123217144
1980,18,1,1.00243670807515
1980,21,1,0.391432972282488
1980,20,1,0
1980,22,1,1.34774258396426
1980,24,1,1.61562524072771
1980,26,1,0
1980,23,1,0.496868260492072
1980,19,1,0
1980,27,1,0
1980,25,1,1.62482043806952
1980,17,1,1.0855142061232
1981,16,1,1.2800044653014
1981,18,1,1.71073442893322
1981,21,1,0.637359842039075
1981,20,1,0
1981,22,1,1.47513083312327
1981,24,1,2.21343522166856
1981,26,1,0
1981,23,1,0.61612106491189
1981,19,1,0
1981,27,1,0
1981,25,1,1.53946174474612
1981,17,1,1.58871838371804
1982,16,1,1.14890634358635
1982,18,1,1.56582175545946
1982,21,1,0.477795284425276
1982,20,1,0
1982,22,1,1.32205900686019
1982,24,1,1.82157789685328
1982,26,1,0
1982,23,1,0.524608589472018
1982,19,1,0
1982,27,1,0
1982,25,1,1.29960654207316
1982,17,1,1.44562845951429
1983,16,1,1.13764679557957
1983,18,1,1.45609111373859
1983,21,1,0.481458579322491
1983,20,1,0
1983,22,1,1.13605728949347
1983,24,1,1.65469704328907
1983,26,1,0
1983,23,1,0.575777589182347
1983,19,1,0
1983,27,1,0
1983,25,1,1.03521120705776
1983,17,1,1.16300386083491
1984,16,1,1.00899328285823
1984,18,1,0.947428299852497
1984,21,1,0.462127479492791
1984,20,1,0
1984,22,1,1.15060218777143
1984,24,1,1.59827699745978
1984,26,1,0
1984,23,1,0.539256498446867
1984,19,1,0
1984,27,1,0
1984,25,1,1.11944965021443
1984,17,1,0.946375432554095
1985,16,1,1.17675358514692
1985,18,1,1.08047683124756
1985,21,1,0.531704499738544
1985,20,1,0
1985,22,1,1.02505618843725
1985,24,1,2.05562825265785
1985,26,1,0
1985,23,1,0.553079115963276
1985,19,1,0
1985,27,1,0
1985,25,1,1.12832619149975
1985,17,1,1.02785883565081
1986,16,1,0.956645301000596
1986,18,1,0.802494737334456
1986,21,1,0.511987973967275
1986,20,1,0
1986,22,1,1.04269007343901
1986,24,1,1.93166202611584
1986,26,1,0
1986,23,1,0.564845531333772
1986,19,1,0
1986,27,1,0
1986,25,1,1.50525240850585
1986,17,1,0.835751758711562
1987,16,1,0.974887413043179
