Year Species.n Age M1 M2 M F Z N  
2031 2 8 0.0971029 0.0265792 0.123682 0.395613 0.519295 1.5988e+06 
2032 2 0 0.0504139 0.0706372 0.121051 0 0.121051 2.08522e+07 
2032 2 1 0.0984172 0.119345 0.217762 0.0645431 0.282305 1.56829e+07 
2032 2 2 0.0988466 0.0642118 0.163058 0.136145 0.299203 1.17283e+07 
2032 2 3 0.0980799 0.0541591 0.152239 0.203512 0.355751 8.32308e+06 
2032 2 4 0.0977376 0.0423044 0.140042 0.276902 0.416944 5.61011e+06 
2032 2 5 0.0968926 0.0392333 0.136126 0.395083 0.531209 3.42797e+06 
2032 2 6 0.096877 0.03372 0.130597 0.394889 0.525486 2.01936e+06 
2032 2 7 0.0969547 0.0316847 0.128639 0.395126 0.523766 1.19455e+06 
2032 2 8 0.097103 0.0265632 0.123666 0.395613 0.519279 1.65978e+06 
2033 2 0 0.0504138 0.0706225 0.121036 0 0.121036 2.08522e+07 
2033 2 1 0.098418 0.119307 0.217725 0.0645437 0.282269 1.56838e+07 
2033 2 2 0.098847 0.0641896 0.163037 0.136145 0.299182 1.17296e+07 
2033 2 3 0.0980802 0.0541403 0.15222 0.203512 0.355732 8.32481e+06 
2033 2 4 0.0977378 0.0422895 0.140027 0.276902 0.41693 5.61196e+06 
2033 2 5 0.0968928 0.0392192 0.136112 0.395084 0.531196 3.42979e+06 
2033 2 6 0.0968772 0.0337074 0.130585 0.39489 0.525474 2.02129e+06 
2033 2 7 0.0969549 0.0316725 0.128627 0.395127 0.523754 1.19657e+06 
2033 2 8 0.0971032 0.0265534 0.123657 0.395613 0.51927 1.69834e+06 
2034 2 0 0.0504137 0.0706134 0.121027 0 0.121027 2.08522e+07 
2034 2 1 0.0984185 0.119284 0.217703 0.064544 0.282247 1.56843e+07 
2034 2 2 0.0988472 0.0641759 0.163023 0.136146 0.299169 1.17304e+07 
2034 2 3 0.0980804 0.0541286 0.152209 0.203512 0.355721 8.32587e+06 
2034 2 4 0.097738 0.0422802 0.140018 0.276903 0.416921 5.61318e+06 
2034 2 5 0.096893 0.0392105 0.136103 0.395084 0.531187 3.43096e+06 
2034 2 6 0.0968773 0.0336996 0.130577 0.39489 0.525467 2.02238e+06 
2034 2 7 0.096955 0.031665 0.12862 0.395127 0.523747 1.19772e+06 
2034 2 8 0.0971032 0.0265473 0.123651 0.395613 0.519264 1.72249e+06 
2035 2 0 0.0504137 0.0706077 0.121021 0 0.121021 2.08522e+07 
2035 2 1 0.0984188 0.11927 0.217688 0.0645442 0.282232 1.56846e+07 
2035 2 2 0.0988473 0.0641673 0.163015 0.136146 0.29916 1.17309e+07 
2035 2 3 0.0980805 0.0541213 0.152202 0.203512 0.355714 8.32653e+06 
2035 2 4 0.097738 0.0422744 0.140012 0.276903 0.416915 5.61394e+06 
2035 2 5 0.096893 0.039205 0.136098 0.395084 0.531182 3.43173e+06 
2035 2 6 0.0968774 0.0336947 0.130572 0.39489 0.525462 2.02308e+06 
2035 2 7 0.0969551 0.0316603 0.128615 0.395127 0.523742 1.19838e+06 
2035 2 8 0.0971033 0.0265435 0.123647 0.395614 0.51926 1.73755e+06 
2036 2 0 0.0504137 0.0706042 0.121018 0 0.121018 2.08522e+07 
2036 2 1 0.0984189 0.11926 0.217679 0.0645443 0.282224 1.56848e+07 
2036 2 2 0.0988474 0.0641619 0.163009 0.136146 0.299155 1.17312e+07 
2036 2 3 0.0980806 0.0541167 0.152197 0.203512 0.35571 8.32693e+06 
2036 2 4 0.0977381 0.0422708 0.140009 0.276903 0.416912 5.6144e+06 
2036 2 5 0.0968931 0.0392016 0.136095 0.395084 0.531179 3.4322e+06 
2036 2 6 0.0968774 0.0336917 0.130569 0.39489 0.525459 2.02354e+06 
2036 2 7 0.0969551 0.0316573 0.128612 0.395127 0.52374 1.19879e+06 
2036 2 8 0.0971033 0.0265411 0.123644 0.395614 0.519258 1.7469e+06 
2037 2 0 0.0504137 0.070602 0.121016 0 0.121016 2.08522e+07 
2037 2 1 0.0984191 0.119255 0.217674 0.0645444 0.282218 1.56849e+07 
2037 2 2 0.0988475 0.0641586 0.163006 0.136146 0.299152 1.17314e+07 
2037 2 3 0.0980806 0.0541139 0.152195 0.203513 0.355707 8.32719e+06 
2037 2 4 0.0977381 0.0422686 0.140007 0.276903 0.41691 5.61469e+06 
2037 2 5 0.0968931 0.0391995 0.136093 0.395084 0.531177 3.4325e+06 
2037 2 6 0.0968774 0.0336898 0.130567 0.39489 0.525458 2.02383e+06 
