"Year","Species.n","Yield","yield.core","DeadM1","DeadM2","DeadM1.core","DeadM2.core","Fbar","SSB","TSB","Recruits"
1996,2,195666,195666,76691.32791825,81814.1512929171,76691.32791825,81814.1512929171,0.429688,674876,918019,9967780
1997,2,197331,197331,62356.345922,55994.0142305665,62356.345922,55994.0142305665,0.485131,508161,641373,15750600
1998,2,221690,221690,59988.59565025,51509.0058548239,59988.59565025,51509.0058548239,0.539335,517413,678297,9299760
1999,2,174096,174096,53846.51740025,57745.9070652576,53846.51740025,57745.9070652576,0.43905,422544,535795,15995100
2000,2,208546,208546,54628.093968675,80460.0524634469,54628.093968675,80460.0524634469,0.515672,442953,601201,12726600
2001,2,202481,202481,48887.428809575,77684.554554968,48887.428809575,77684.554554968,0.646913,460207,608294,12238400
2002,2,131045,131045,50578.1455299,84626.2034734809,50578.1455299,84626.2034734809,0.437873,345645,471885,25493700
2003,2,112255,112255,64645.78104155,84901.2025512976,64645.78104155,84901.2025512976,0.34181,493100,736186,13837200
2004,2,93370,93370,58617.947247825,73610.5401436751,58617.947247825,73610.5401436751,0.287409,410642,567556,9655610
2005,2,90586,90586,59256.051524875,93764.1657223494,59256.051524875,93764.1657223494,0.248922,431602,541079,17870800
2006,2,109545,109545,67572.49909575,107976.150776714,67572.49909575,107976.150776714,0.258078,527280,693709,14626900
2007,2,114606,114606,74530.31115595,121261.119820925,74530.31115595,121261.119820925,0.248693,546647,694562,27149200
2008,2,125342,125342,76546.5920547,144297.95913869,76546.5920547,144297.95913869,0.269246,569662,796237,19581200
2009,2,131229,131229,76914.594032275,148106.30503831,76914.594032275,148106.30503831,0.279042,615876,818516,15281700
2010,2,135658,135658,70191.57536275,142754.062363588,70191.57536275,142754.062363588,0.290191,631508,789395,9563050
2011,2,115769,115769,66965.336024425,128593.793069865,66965.336024425,128593.793069865,0.244252,603640,716448,19217200
2012,2,97498.6,97498.6,78075.2622814,116596.590765745,78075.2622814,116596.590765745,0.179264,551500,697414,20339800
2013,2,100558,100558,82618.11864385,115316.66599151,82618.11864385,115316.66599151,0.165765,616301,791379,15059000
2014,2,129420,129420,91022.23986475,126971.204374999,91022.23986475,126971.204374999,0.200578,660482,810598,38100300
2015,2,174257,174257,98924.638431525,121115.687924698,98924.638431525,121115.687924698,0.294377,685334,953144,13066800
2016,2,190496,190496,80949.106249725,93910.9125208495,80949.106249725,93910.9125208495,0.385499,619215,763059,11824200
2017,2,200422,200422,75727.381376725,69578.8126884979,75727.381376725,69578.8126884979,0.411134,610048,727615,14519700
2018,2,244048,244048,71378.101165375,54479.6593356893,71378.101165375,54479.6593356893,0.463546,626780,751412,8838540
2019,2,202023,202023,64015.799278275,50419.9291416219,64015.799278275,50419.9291416219,0.456982,530318,631916,22617800
2020,2,175532,175532,65859.4496539,51313.3143477465,65859.4496539,51313.3143477465,0.415836,455365,614184,12191100
2021,2,128966,128966,68560.441179875,51481.1177878136,68560.441179875,51481.1177878136,0.315591,477033,613514,21852700
1974,3,262216,262216,302397.5057,559280.98274399,302397.5057,559280.98274399,0.255972,1473460,1829270,42682300
1975,3,212175,212175,296319.67228,553049.015174882,296319.67228,553049.015174882,0.250515,1221610,1343500,332055000
1976,3,142798,142798,357102.74517,621037.951252605,357102.74517,621037.951252605,0.176498,934498,1737590,100512000
1977,3,166497,166497,326282.433365,652211.517132734,326282.433365,652211.517132734,0.203286,1662410,1993450,51087600
1978,3,111860,111860,230649.636335,711206.316575326,230649.636335,711206.316575326,0.123031,1291500,1421960,129494000
1979,3,66753.7,66753.7,164932.27598,618647.46591983,164932.27598,618647.46591983,0.114891,795965,1054060,80939500
1980,3,48799.9,48799.9,155461.350215,595084.926814424,155461.350215,595084.926814424,0.125549,546474,719414,224269000
1981,3,42977.6,42977.6,178747.691965,674062.45447375,178747.691965,674062.45447375,0.0923365,507310,999994,119491000
1982,3,42876.2,42876.2,233082.34026,803147.967143002,233082.34026,803147.967143002,0.0764861,649575,932797,333950000
1983,3,26274.1,26274.1,293020.41475,835852.171034202,293020.41475,835852.171034202,0.0455705,690447,1464670,141756000
1984,3,42672.9,42672.9,298224.556315,625355.147102423,298224.556315,625355.147102423,0.0367513,1129370,1527880,109392000
1985,3,58747.8,58747.8,283206.645515,462586.677370263,283206.645515,462586.677370263,0.0489688,1200030,1512470,39133400
1986,3,66524,66524,253333.292865,366966.199611214,253333.292865,366966.199611214,0.0692695,1217330,1349780,79606100
1987,3,87800.5,87800.5,230693.034585,329268.121636548,230693.034585,329268.121636548,0.066339,1129300,1353470,26913000
1988,3,76238.2,76238.2,199882.11176,274102.866759787,199882.11176,274102.866759787,0.064144,889168,980239,83749200
1989,3,45857.6,45857.6,222303.35443,240295.111249857,222303.35443,240295.111249857,0.0604246,822567,1059480,89175600
1990,3,53839.4,53839.4,272012.787185,165797.826479232,272012.787185,165797.826479232,0.0521841,998763,1288910,88056000
1991,3,86488.2,86488.2,353619.76457,151444.922554159,353619.76457,151444.922554159,0.0539167,1352380,1664210,129300000
1992,3,208936,208936,440634.350045,213538.764025261,440634.350045,213538.764025261,0.142794,1674840,2114300,133252000
1993,3,131870,131870,405705.775645,287715.843337655,405705.775645,287715.843337655,0.0981124,1673940,2115030,81259800
1994,3,264826,264826,484205.66323,326396.336476395,484205.66323,326396.336476395,0.161147,1998990,2276890,312211000
1995,3,278270,278270,608313.43325,344842.300674257,608313.43325,344842.300674257,0.187638,1996220,2918560,219063000
1996,3,418355,418355,579523.52607,263901.511863135,579523.52607,263901.511863135,0.222429,2385570,3095000,73800700
1997,3,511217,511217,529693.22597,211600.592134802,529693.22597,211600.592134802,0.257963,2457810,2730660,218369000
1998,3,469680,469680,498251.1258075,222247.479965177,498251.1258075,222247.479965177,0.291811,2086090,2719810,62259800
1999,3,415598,415598,438626.1825935,234439.587842674,438626.1825935,234439.587842674,0.259649,2077280,2312330,138309000
2000,3,388712,388712,424768.205135,273954.256035719,424768.205135,273954.256035719,0.253071,1937040,2323710,69835700
2001,3,339407,339407,367342.4541595,249926.033240817,367342.4541595,249926.033240817,0.216457,1763420,1989910,83240500
2002,3,331904,331904,332826.5698005,246153.19746475,332826.5698005,246153.19746475,0.296396,1394480,1630250,196054000
2003,3,296472,296472,429652.8936825,267605.481685512,429652.8936825,267605.481685512,0.312385,1257040,1784250,338258000
2004,3,373008,373008,487522.9972245,298069.634938556,487522.9972245,298069.634938556,0.340231,1563660,2483700,66314600
2005,3,397446,397446,388839.0417315,311593.115921491,388839.0417315,311593.115921491,0.323772,1869330,2116420,103789000
2006,3,344385,344385,345071.247058,309929.117361994,345071.247058,309929.117361994,0.254944,1518670,1790890,144171000
2007,3,383019,383019,324071.7536464,300612.495551181,324071.7536464,300612.495551181,0.324131,1280530,1657900,99509000
2008,3,371268,371268,349213.141953,338522.227307547,349213.141953,338522.227307547,0.33198,1362940,1645390,244240000
2009,3,401629,401629,364020.921109,378253.541578649,364020.921109,378253.541578649,0.33477,1285260,1900560,73044200
2010,3,334173,334173,293501.885681,336747.394578406,293501.885681,336747.394578406,0.308854,1445130,1677310,81330100
2011,3,256559,256559,246403.5044493,281231.479313376,246403.5044493,281231.479313376,0.294975,1119030,1327250,94413300
2012,3,226649,226649,242341.5116295,236026.11248076,242341.5116295,236026.11248076,0.260163,971571,1214210,86848700
2013,3,271410,271410,235204.9727945,223321.826663297,235204.9727945,223321.826663297,0.296272,1032280,1264310,83323200
2014,3,238589,238589,290058.6393575,267211.634723689,290058.6393575,267211.634723689,0.320938,914721,1131970,302748000
2015,3,245999,245999,389803.013204,299605.088525751,389803.013204,299605.088525751,0.248135,995738,1742280,104487000
2016,3,243038,243038,369460.9942043,242752.594746083,369460.9942043,242752.594746083,0.205585,1485580,1808310,78584100
2017,3,282482,282482,344172.623404,187553.25604502,344172.623404,187553.25604502,0.252019,1527650,1748040,100580000
2018,3,302904,302904,317360.511061,158263.922275974,317360.511061,158263.922275974,0.246408,1400190,1671960,69428100
2019,3,311490,311490,296200.598493,138925.84936074,296200.598493,138925.84936074,0.301363,1296230,1496490,125631000
2020,3,268360,268360,322173.393437,136797.459162751,322173.393437,136797.459162751,0.268021,1209230,1545640,108095000
2021,3,284787,284787,340072.5841065,132317.827171553,340072.5841065,132317.827171553,0.24121,1285470,1595050,124082000
