"Year","Species.n","Age","M2"
1994,3,1,0.181377412826299
1995,2,1,0.17124336062859
1995,3,1,0.135860625020224
1996,2,1,0.136989922401952
1996,3,1,0.106613298469814
1997,2,1,0.113897234137466
1997,3,1,0.100404395645823
1998,2,1,0.11934078734283
1998,3,1,0.109257793762847
1999,2,1,0.147575837243997
1999,3,1,0.139349965388439
2000,2,1,0.231202562734269
2000,3,1,0.179610335958678
2001,2,1,0.251970723527389
2001,3,1,0.195648354148848
2002,2,1,0.266419731142197
2002,3,1,0.21076435536355
2003,2,1,0.219826574657298
2003,3,1,0.171744815523664
2004,2,1,0.189643120502966
2004,3,1,0.147327818604733
2005,2,1,0.248396941390691
2005,3,1,0.203320622081927
2006,2,1,0.283661479234546
2006,3,1,0.235485727074108
2007,2,1,0.291848568099476
2007,3,1,0.246153003179677
2008,2,1,0.316386115913922
2008,3,1,0.273075170539233
2009,2,1,0.33045839707577
2009,3,1,0.27171127664561
2010,2,1,0.377050985297178
2010,3,1,0.31185307887829
2011,2,1,0.387409950750901
2011,3,1,0.324746638938793
2012,2,1,0.33504650281926
2012,3,1,0.295957099872372
2013,2,1,0.314981044272791
2013,3,1,0.295989764106064
2014,2,1,0.32078785721546
2014,3,1,0.302158215009793
2015,2,1,0.244286761137278
2015,3,1,0.206271544418004
2016,2,1,0.223067420603519
2016,3,1,0.18188686422579
2017,2,1,0.190252530230401
2017,3,1,0.159822369829606
2018,2,1,0.170870004294755
2018,3,1,0.146437323155954
2019,2,1,0.167170689929775
2019,3,1,0.140946698598503
2020,2,1,0.150531314854101
2020,3,1,0.124310577825977
2021,2,1,0.143681583572067
2021,3,1,0.113687712989997
1974,2,2,0.211238432384811
1974,3,2,0.338479528359178
1975,2,2,0.244260953510187
1975,3,2,0.365719624716782
1976,2,2,0.208337485832869
1976,3,2,0.283015040546859
1977,2,2,0.227908202394163
1977,3,2,0.366854150615665
1978,2,2,0.289550582144159
1978,3,2,0.583418238556832
1979,2,2,0.316836337387101
1979,3,2,0.635251595409333
1980,2,2,0.425056738781825
1980,3,2,0.69024306227494
1981,2,2,0.409400397496782
1981,3,2,0.516011019948386
1982,2,2,0.388825266132682
1982,3,2,0.573115572535936
1983,2,2,0.440901608035399
1983,3,2,0.479055354344023
1984,2,2,0.383835712242273
1984,3,2,0.397470836194626
1985,2,2,0.333630844171541
1985,3,2,0.318741951385666
1986,2,2,0.277806383995019
1986,3,2,0.288375808270471
1987,2,2,0.211733343323223
1987,3,2,0.28442357484017
1988,2,2,0.271963744337477
1988,3,2,0.278097470990916
1989,2,2,0.188203662112288
1989,3,2,0.206135120105508
1990,2,2,0.107253020049839
1990,3,2,0.10845971252812
1991,2,2,0.0901271040131707
1991,3,2,0.0708428720995894
1992,2,2,0.0919559178882206
1992,3,2,0.079737977781185
1993,2,2,0.143619392152795
1993,3,2,0.136642807958443
1994,2,2,0.151617005938725
1994,3,2,0.133667565675602
1995,2,2,0.128907907835257
1995,3,2,0.100406828714328
1996,2,2,0.112592120518254
1996,3,2,0.0920239908886834
1997,2,2,0.096912829922109
1997,3,2,0.0792531481956665
1998,2,2,0.0882587779009473
1998,3,2,0.083687161683636
1999,2,2,0.106447214218115
1999,3,2,0.10293414370055
2000,2,2,0.136075451647859
2000,3,2,0.116571481044645
2001,2,2,0.150733979880671
2001,3,2,0.133714030837945
2002,2,2,0.169098789681443
2002,3,2,0.142655710469144
2003,2,2,0.110157844037235
2003,3,2,0.11597729103344
2004,2,2,0.160897695108469
2004,3,2,0.114111904542504
2005,2,2,0.192371936340276
2005,3,2,0.161941255909086
2006,2,2,0.152117499845805
2006,3,2,0.176061588680867
2007,2,2,0.172251461361851
2007,3,2,0.181009113125372
2008,2,2,0.173836225605078
2008,3,2,0.182063033976637
