Year Quarter Area Predator.no Predator.age Prey.no Prey.age Part.M2
2022 3 1 1 9 2 0 0.000711001
2022 3 1 1 9 2 1 0.000541508
2022 3 1 1 9 2 2 0.000432646
2022 3 1 1 9 2 3 0.000363735
2022 3 1 1 9 2 4 0.000369296
2022 3 1 1 9 2 5 0.000327761
2022 3 1 1 9 2 6 0.000320004
2022 3 1 1 9 2 7 0.000325141
2022 3 1 1 9 2 8 0.000376658
2022 3 1 1 9 3 0 0.000322922
2022 3 1 1 9 3 1 0.00031737
2022 3 1 1 9 3 2 0.000304983
2022 3 1 1 9 3 3 0.00029318
2022 3 1 1 9 3 4 0.00029318
2022 3 1 1 9 3 5 0.000286843
2022 3 1 1 9 3 6 0.000276688
2022 3 1 1 9 3 7 0.000290008
2022 3 1 1 10 2 0 2.35705e-05
2022 3 1 1 10 2 1 2.19119e-05
2022 3 1 1 10 2 2 1.8914e-05
2022 3 1 1 10 2 3 1.66864e-05
2022 3 1 1 10 2 4 1.68748e-05
2022 3 1 1 10 2 5 1.54315e-05
2022 3 1 1 10 2 6 1.51527e-05
2022 3 1 1 10 2 7 1.53376e-05
2022 3 1 1 10 2 8 1.7122e-05
2022 3 1 1 10 3 0 9.9215e-06
2022 3 1 1 10 3 1 1.11004e-05
2022 3 1 1 10 3 2 1.10746e-05
2022 3 1 1 10 3 3 1.09451e-05
2022 3 1 1 10 3 4 1.09451e-05
2022 3 1 1 10 3 5 1.08511e-05
2022 3 1 1 10 3 6 1.06747e-05
2022 3 1 1 10 3 7 1.08998e-05
2022 4 1 1 3 2 0 0.00158282
2022 4 1 1 3 2 1 0.000347384
2022 4 1 1 3 3 0 0.000936086
2022 4 1 1 3 3 1 0.000341007
2022 4 1 1 3 3 2 0.000268626
2022 4 1 1 3 3 3 0.000223079
2022 4 1 1 3 3 4 0.000214215
2022 4 1 1 3 3 7 0.000217111
2022 4 1 1 4 2 0 0.00819368
2022 4 1 1 4 2 1 0.002386
2022 4 1 1 4 2 2 0.0015046
2022 4 1 1 4 2 3 0.00127649
2022 4 1 1 4 2 4 0.000972657
2022 4 1 1 4 2 5 0.000882365
2022 4 1 1 4 3 0 0.00433626
2022 4 1 1 4 3 1 0.00196313
2022 4 1 1 4 3 2 0.00161766
2022 4 1 1 4 3 3 0.00138956
2022 4 1 1 4 3 4 0.00134405
2022 4 1 1 4 3 5 0.00124644
2022 4 1 1 4 3 6 0.00119552
2022 4 1 1 4 3 7 0.00135896
2022 4 1 1 5 2 0 0.00951877
2022 4 1 1 5 2 1 0.00348197
2022 4 1 1 5 2 2 0.0023558
2022 4 1 1 5 2 3 0.00204675
2022 4 1 1 5 2 4 0.00162001
2022 4 1 1 5 2 5 0.00148925
2022 4 1 1 5 2 6 0.0011851
2022 4 1 1 5 2 7 0.00124515
2022 4 1 1 5 2 8 0.00109856
2022 4 1 1 5 3 0 0.00460579
2022 4 1 1 5 3 1 0.00248465
2022 4 1 1 5 3 2 0.0021231
2022 4 1 1 5 3 3 0.00187414
2022 4 1 1 5 3 4 0.00182338
2022 4 1 1 5 3 5 0.00171319
2022 4 1 1 5 3 6 0.00165495
2022 4 1 1 5 3 7 0.00184005
2022 4 1 1 6 2 0 0.0141921
2022 4 1 1 6 2 1 0.00626836
2022 4 1 1 6 2 2 0.00449497
2022 4 1 1 6 2 3 0.00398281
2022 4 1 1 6 2 4 0.00325305
2022 4 1 1 6 2 5 0.00302343
2022 4 1 1 6 2 6 0.00247652
2022 4 1 1 6 2 7 0.00258605
2022 4 1 1 6 2 8 0.00231723
2022 4 1 1 6 3 0 0.00637691
2022 4 1 1 6 3 1 0.00397638
2022 4 1 1 6 3 2 0.00350125
2022 4 1 1 6 3 3 0.00316113
2022 4 1 1 6 3 4 0.00309038
2022 4 1 1 6 3 5 0.00293513
2022 4 1 1 6 3 6 0.00285212
2022 4 1 1 6 3 7 0.00311367
2022 4 1 1 7 2 0 0.00868607
2022 4 1 1 7 2 1 0.00454463
2022 4 1 1 7 2 2 0.00343377
2022 4 1 1 7 2 3 0.00309674
2022 4 1 1 7 2 4 0.00260178
2022 4 1 1 7 2 5 0.00244207
2022 4 1 1 7 2 6 0.00205298
2022 4 1 1 7 2 7 0.00213194
2022 4 1 1 7 2 8 0.00193712
2022 4 1 1 7 3 0 0.00365163
2022 4 1 1 7 3 1 0.0025936
2022 4 1 1 7 3 2 0.00234612
2022 4 1 1 7 3 3 0.00216154
2022 4 1 1 7 3 4 0.00212236
2022 4 1 1 7 3 5 0.00203538
2022 4 1 1 7 3 6 0.00198831
2022 4 1 1 7 3 7 0.00213529
2022 4 1 1 8 2 0 0.0127489
2022 4 1 1 8 2 1 0.00791893
2022 4 1 1 8 2 2 0.00630857
2022 4 1 1 8 2 3 0.0057921
2022 4 1 1 8 2 4 0.00500755
2022 4 1 1 8 2 5 0.00474729
2022 4 1 1 8 2 6 0.00409733
2022 4 1 1 8 2 7 0.00423116
2022 4 1 1 8 2 8 0.00389913
2022 4 1 1 8 3 0 0.00501025
2022 4 1 1 8 3 1 0.00406021
2022 4 1 1 8 3 2 0.00377449
2022 4 1 1 8 3 3 0.0035496
2022 4 1 1 8 3 4 0.0035006
2022 4 1 1 8 3 5 0.00339028
2022 4 1 1 8 3 6 0.00332969
2022 4 1 1 8 3 7 0.00351682
2022 4 1 1 9 2 0 0.00232183
2022 4 1 1 9 2 1 0.00179998
2022 4 1 1 9 2 2 0.00153541
2022 4 1 1 9 2 3 0.00144267
2022 4 1 1 9 2 4 0.0012942
2022 4 1 1 9 2 5 0.00124285
2022 4 1 1 9 2 6 0.00110977
2022 4 1 1 9 2 7 0.00113775
2022 4 1 1 9 2 8 0.00106775
2022 4 1 1 9 3 0 0.000836394
2022 4 1 1 9 3 1 0.000803647
2022 4 1 1 9 3 2 0.00077392
2022 4 1 1 9 3 3 0.000747346
2022 4 1 1 9 3 4 0.000741223
2022 4 1 1 9 3 5 0.00072703
2022 4 1 1 9 3 6 0.000719
2022 4 1 1 9 3 7 0.000743262
2022 4 1 1 10 2 0 7.82699e-05
2022 4 1 1 10 2 1 7.3305e-05
2022 4 1 1 10 2 2 6.62864e-05
2022 4 1 1 10 2 3 6.35224e-05
2022 4 1 1 10 2 4 5.88096e-05
2022 4 1 1 10 2 5 5.71004e-05
2022 4 1 1 10 2 6 5.24866e-05
2022 4 1 1 10 2 7 5.34788e-05
2022 4 1 1 10 2 8 5.09746e-05
2022 4 1 1 10 3 0 2.61771e-05
2022 4 1 1 10 3 1 2.90854e-05
2022 4 1 1 10 3 2 2.88653e-05
2022 4 1 1 10 3 3 2.85112e-05
2022 4 1 1 10 3 4 2.84149e-05
2022 4 1 1 10 3 5 2.81741e-05
2022 4 1 1 10 3 6 2.8028e-05
2022 4 1 1 10 3 7 2.84475e-05
2023 1 1 1 2 2 1 0.00107529
2023 1 1 1 2 3 1 0.000981182
2023 1 1 1 3 2 1 0.00318874
2023 1 1 1 3 3 1 0.0024214
2023 1 1 1 3 3 2 0.000886617
2023 1 1 1 3 3 3 0.000688663
2023 1 1 1 3 3 4 0.000627759
2023 1 1 1 3 3 5 0.000574601
2023 1 1 1 3 3 6 0.000520681
2023 1 1 1 3 3 7 0.000535288
2023 1 1 1 4 2 1 0.0115465
2023 1 1 1 4 2 2 0.00350473
2023 1 1 1 4 2 3 0.00243351
2023 1 1 1 4 2 4 0.00155789
2023 1 1 1 4 2 5 0.00137616
2023 1 1 1 4 2 6 0.00119294
2023 1 1 1 4 3 1 0.00756776
2023 1 1 1 4 3 2 0.00347332
2023 1 1 1 4 3 3 0.00283497
2023 1 1 1 4 3 4 0.0026302
2023 1 1 1 4 3 5 0.00244774
2023 1 1 1 4 3 6 0.00225877
2023 1 1 1 4 3 7 0.00231038
2023 1 1 1 5 2 1 0.0111148
2023 1 1 1 5 2 2 0.00420064
2023 1 1 1 5 2 3 0.0030853
2023 1 1 1 5 2 4 0.00210603
2023 1 1 1 5 2 5 0.00189241
2023 1 1 1 5 2 6 0.00167242
2023 1 1 1 5 2 7 0.00160766
2023 1 1 1 5 2 8 0.00103331
2023 1 1 1 5 3 1 0.00649036
2023 1 1 1 5 3 2 0.00355637
2023 1 1 1 5 3 3 0.00301789
2023 1 1 1 5 3 4 0.00283889
2023 1 1 1 5 3 5 0.00267656
2023 1 1 1 5 3 6 0.00250542
2023 1 1 1 5 3 7 0.00255247
2023 1 1 1 6 2 1 0.0214956
2023 1 1 1 6 2 2 0.00975218
2023 1 1 1 6 2 3 0.00750618
2023 1 1 1 6 2 4 0.0054051
2023 1 1 1 6 2 5 0.00492645
2023 1 1 1 6 2 6 0.00442438
2023 1 1 1 6 2 7 0.00427464
2023 1 1 1 6 2 8 0.00290106
2023 1 1 1 6 3 1 0.0114006
2023 1 1 1 6 3 2 0.00724099
2023 1 1 1 6 3 3 0.00634703
2023 1 1 1 6 3 4 0.00603975
2023 1 1 1 6 3 5 0.00575646
2023 1 1 1 6 3 6 0.00545287
2023 1 1 1 6 3 7 0.00553685
2023 1 1 1 7 2 1 0.0135821
2023 1 1 1 7 2 2 0.00725395
2023 1 1 1 7 2 3 0.00582176
2023 1 1 1 7 2 4 0.00439718
2023 1 1 1 7 2 5 0.00405906
2023 1 1 1 7 2 6 0.00369813
2023 1 1 1 7 2 7 0.00358917
2023 1 1 1 7 2 8 0.00255711
2023 1 1 1 7 3 1 0.00661031
2023 1 1 1 7 3 2 0.00479036
2023 1 1 1 7 3 3 0.00432227
2023 1 1 1 7 3 4 0.00415555
2023 1 1 1 7 3 5 0.00399918
2023 1 1 1 7 3 6 0.00382872
2023 1 1 1 7 3 7 0.00387617
2023 1 1 1 8 2 1 0.0195555
2023 1 1 1 8 2 2 0.0122851
2023 1 1 1 8 2 3 0.0102785
2023 1 1 1 8 2 4 0.00814107
2023 1 1 1 8 2 5 0.0076107
2023 1 1 1 8 2 6 0.0070338
2023 1 1 1 8 2 7 0.00685734
2023 1 1 1 8 2 8 0.00512747
2023 1 1 1 8 3 1 0.00873752
2023 1 1 1 8 3 2 0.00721977
2023 1 1 1 8 3 3 0.00670465
2023 1 1 1 8 3 4 0.00651237
2023 1 1 1 8 3 5 0.00632799
2023 1 1 1 8 3 6 0.00612263
2023 1 1 1 8 3 7 0.00618026
2023 1 1 1 9 2 1 0.00320184
2023 1 1 1 9 2 2 0.00249215
2023 1 1 1 9 2 3 0.00220282
2023 1 1 1 9 2 4 0.00185766
2023 1 1 1 9 2 5 0.00176587
2023 1 1 1 9 2 6 0.0016631
2023 1 1 1 9 2 7 0.00163104
2023 1 1 1 9 2 8 0.00129994
2023 1 1 1 9 3 1 0.0012779
2023 1 1 1 9 3 2 0.00125563
2023 1 1 1 9 3 3 0.00121123
2023 1 1 1 9 3 4 0.0011925
2023 1 1 1 9 3 5 0.00117357
2023 1 1 1 9 3 6 0.00115143
2023 1 1 1 9 3 7 0.00115775
2023 1 1 1 10 2 1 0.000105684
2023 1 1 1 10 2 2 9.87142e-05
2023 1 1 1 10 2 3 9.14289e-05
2023 1 1 1 10 2 4 8.13292e-05
2023 1 1 1 10 2 5 7.84169e-05
2023 1 1 1 10 2 6 7.50487e-05
2023 1 1 1 10 2 7 7.39748e-05
2023 1 1 1 10 2 8 6.22477e-05
2023 1 1 1 10 3 1 3.83171e-05
2023 1 1 1 10 3 2 4.36288e-05
2023 1 1 1 10 3 3 4.34699e-05
2023 1 1 1 10 3 4 4.32927e-05
2023 1 1 1 10 3 5 4.30691e-05
2023 1 1 1 10 3 6 4.27615e-05
2023 1 1 1 10 3 7 4.28539e-05
2023 2 1 1 2 3 1 0.000610344
2023 2 1 1 3 2 1 0.000362855
2023 2 1 1 3 3 1 0.00203492
2023 2 1 1 3 3 2 0.000855169
2023 2 1 1 3 3 3 0.000701878
2023 2 1 1 3 3 4 0.000621595
2023 2 1 1 3 3 5 0.000603679
2023 2 1 1 3 3 7 0.000531898
2023 2 1 1 4 2 1 0.00133814
2023 2 1 1 4 2 2 0.000610301
2023 2 1 1 4 2 3 0.000678873
2023 2 1 1 4 2 4 0.000371602
2023 2 1 1 4 2 5 0.000396467
2023 2 1 1 4 3 1 0.00570723
2023 2 1 1 4 3 2 0.00289087
2023 2 1 1 4 3 3 0.00246486
2023 2 1 1 4 3 4 0.00223326
2023 2 1 1 4 3 5 0.00218068
2023 2 1 1 4 3 6 0.00180224
2023 2 1 1 4 3 7 0.00196641
2023 2 1 1 5 2 1 0.00157809
2023 2 1 1 5 2 2 0.000818461
2023 2 1 1 5 2 3 0.00089569
2023 2 1 1 5 2 4 0.000535729
2023 2 1 1 5 2 5 0.000566382
2023 2 1 1 5 2 6 0.000411089
2023 2 1 1 5 2 7 0.000318229
2023 2 1 1 5 2 8 0.000261574
